iteration,rules_version,kill_precision,false_kill_rate,reason_accuracy,misses
0,0,0.9285714285714286,0.1111111111111111,0.6666666666666666,10
1,1,0.9,0.2222222222222222,0.7666666666666667,7
2,2,0.9523809523809523,0.1111111111111111,0.8666666666666667,4
3,3,0.9090909090909091,0.2222222222222222,0.9,3
