score,osd_id,organism,project_type,material,factors,n_samples,n_groups,n_contrasts,groups,assay,title,dge_url
2,OSD-120,Arabidopsis thaliana,Spaceflight Study,,Ecotype     Spaceflight     Treatment,37,12,66,Col-0 & Ground Control & Dark Treatment | Col-0 & Ground Control & Light Treatment | Col-0 & Space Flight & Dark Treatment | Col-0 & Space Flight & Light Treatment | Col-0 PhyD & Ground Control & Dark Treatment | Col-0 PhyD & Ground Control & Light Treatment | Col-0 PhyD & Space Flight & Dark Treatment | Col-0 PhyD & Space Flight & Light Treatment | Wassilewskija ecotype & Ground Control & Dark Treatment | Wassilewskija ecotype & Ground Control & Light Treatment | Wassilewskija ecotype & Space Flight & Dark Treatment | Wassilewskija ecotype & Space Flight & Light Treatment,RNA Sequencing (RNA-Seq)     Photography,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://osdr.nasa.gov/geode-py/ws/studies/OSD-120/download?source=datamanager&file=GLDS-120_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-168,Mus musculus,Spaceflight Study,Liver,Spaceflight     Spike-in Quality Control     Space Mission,52,11,55,Basal Control & SpaceX-4 (RR1) & With Spike-in | Basal Control & SpaceX-4 (RR1) & Without Spike-in | Basal Control & SpaceX-8 (RR3) & With Spike-in | Ground Control & SpaceX-4 (RR1) & With Spike-in | Ground Control & SpaceX-4 (RR1) & Without Spike-in | Ground Control & SpaceX-8 (RR3) & With Spike-in | Space Flight & SpaceX-4 (RR1) & With Spike-in | Space Flight & SpaceX-4 (RR1) & Without Spike-in | Space Flight & SpaceX-8 (RR3) & With Spike-in | Vivarium Control & SpaceX-4 (RR1) & With Spike-in | Vivarium Control & SpaceX-4 (RR1) & Without Spike-in,RNA Sequencing (RNA-Seq),RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins,https://osdr.nasa.gov/geode-py/ws/studies/OSD-168/download?source=datamanager&file=GLDS-168_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-173,Mus musculus,Spaceflight Study,Liver,Spaceflight,6,3,3,Ground Control | Space Flight | Vivarium Control,RNA Sequencing (RNA-Seq),STS-135: Mouse Liver Transcriptomics using RNA-Seq,https://osdr.nasa.gov/geode-py/ws/studies/OSD-173/download?source=datamanager&file=GLDS-173_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-193,Arabidopsis thaliana,Spaceflight Study,,Time     Genotype     Spaceflight,33,8,28,Col-0 & Ground Control & 4 day | Col-0 & Ground Control & 8 day | Col-0 & Space Flight & 4 day | Col-0 & Space Flight & 8 day | Sku6 & Ground Control & 4 day | Sku6 & Ground Control & 8 day | Sku6 & Space Flight & 4 day | Sku6 & Space Flight & 8 day,RNA Sequencing (RNA-Seq),"During development, the Sku6 mutant roots engage different genes than wild type Col-0 roots, either on the ground or in spaceflight",https://osdr.nasa.gov/geode-py/ws/studies/OSD-193/download?source=datamanager&file=GLDS-193_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-207,Drosophila melanogaster,Spaceflight Study,Head,Spaceflight     Genotype     Strain,31,8,28,Canton-S & Sei ts1 & Ground Control | Canton-S & Sei ts1 & Space Flight | Canton-S & Wild Type & Ground Control | Canton-S & Wild Type & Space Flight | w1118 & KCNQ370 & Ground Control | w1118 & KCNQ370 & Space Flight | w1118 & Wild Type & Ground Control | w1118 & Wild Type & Space Flight,RNA Sequencing (RNA-Seq)     mass spectrometry,Correlated Gene and Protein Expression in heads from Drosophila reared in microgravity,https://osdr.nasa.gov/geode-py/ws/studies/OSD-207/download?source=datamanager&file=GLDS-207_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-218,Arabidopsis thaliana,Spaceflight Study,,Age     Spaceflight     Cultivar,33,8,28,4 day & Ground Control & Col-0 | 4 day & Ground Control & WS | 4 day & Space Flight & Col-0 | 4 day & Space Flight & WS | 8 day & Ground Control & Col-0 | 8 day & Ground Control & WS | 8 day & Space Flight & Col-0 | 8 day & Space Flight & WS,RNA Sequencing (RNA-Seq),Plant development on ISS differs from the development on the ground and is influenced by the genetic background,https://osdr.nasa.gov/geode-py/ws/studies/OSD-218/download?source=datamanager&file=GLDS-218_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-238,Mus musculus,Spaceflight Study,dorsal skin,Spaceflight     Diet     Altered Gravity,24,8,28,Ground Control & 1G on Earth & JAXA Chow | Ground Control & 1G on Earth & JAXA Chow with FOS | Space Flight & 1G by centrifugation & JAXA Chow | Space Flight & 1G by centrifugation & JAXA Chow with FOS | Space Flight & uG & JAXA Chow | Space Flight & uG & JAXA Chow with FOS | Vivarium Control & 1G on Earth & JAXA Chow | Vivarium Control & 1G on Earth & JAXA Chow with FOS,RNA Sequencing (RNA-Seq),Transcriptomic analysis of dorsal skin from mice flown on the MHU-2 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-238/download?source=datamanager&file=GLDS-238_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-239,Mus musculus,Spaceflight Study,femoral skin,Spaceflight     Diet     Altered Gravity,23,8,28,Ground Control & 1G on Earth & JAXA Chow | Ground Control & 1G on Earth & JAXA Chow with FOS | Space Flight & 1G by centrifugation & JAXA Chow | Space Flight & 1G by centrifugation & JAXA Chow with FOS | Space Flight & uG & JAXA Chow | Space Flight & uG & JAXA Chow with FOS | Vivarium Control & 1G on Earth & JAXA Chow | Vivarium Control & 1G on Earth & JAXA Chow with FOS,RNA Sequencing (RNA-Seq),Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-239/download?source=datamanager&file=GLDS-239_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-242,Mus musculus,Spaceflight Study,Liver,Spaceflight,23,6,15,Basal Control | Cohort Control #1 | Cohort Control #2 | Ground Control | Space Flight | Vivarium Control,RNA Sequencing (RNA-Seq),Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis,https://osdr.nasa.gov/geode-py/ws/studies/OSD-242/download?source=datamanager&file=GLDS-242_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-243,Mus musculus,Spaceflight Study,dorsal skin,Spaceflight     Duration     Dissection Condition     Euthanasia Location,53,6,15,Basal Control & 1 day & On Earth & Carcass | Basal Control & 1 day & On Earth & Upon euthanasia | Ground Control & ~30 day & On Earth & Upon euthanasia | Ground Control & ~60 day & On Earth & Carcass | Space Flight & ~30 day & On Earth & Upon euthanasia | Space Flight & ~60 day & On ISS & Carcass,RNA Sequencing (RNA-Seq),Transcriptional analysis of dorsal skin from mice flown on the RR-6 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-243/download?source=datamanager&file=GLDS-243_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-244,Mus musculus,Spaceflight Study,Thymus,Spaceflight     Duration     Dissection Condition     Euthanasia Location,54,6,15,Basal Control & 1 day & On Earth & Carcass | Basal Control & 1 day & On Earth & Upon euthanasia | Ground Control & ~30 day & On Earth & Upon euthanasia | Ground Control & ~60 day & On Earth & Carcass | Space Flight & ~30 day & On Earth & Upon euthanasia | Space Flight & ~60 day & On ISS & Carcass,RNA Sequencing (RNA-Seq),Transcriptional analysis of thymus from mice flown on the RR-6 Mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-244/download?source=datamanager&file=GLDS-244_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-245,Mus musculus,Spaceflight Study,Liver,Spaceflight     Duration     Dissection Condition     Euthanasia Location,59,6,15,Basal Control & 1 day & On Earth & Carcass | Basal Control & 1 day & On Earth & Upon euthanasia | Ground Control & ~30 day & On Earth & Upon euthanasia | Ground Control & ~60 day & On Earth & Carcass | Space Flight & ~30 day & On Earth & Upon euthanasia | Space Flight & ~60 day & On ISS & Carcass,RNA Sequencing (RNA-Seq),Transcriptional analysis of liver from mice flown on the RR-6 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-245/download?source=datamanager&file=GLDS-245_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-246,Mus musculus,Spaceflight Study,Spleen,Spaceflight     Duration     Dissection Condition     Euthanasia Location,43,6,15,Basal Control & 1 day & On Earth & Carcass | Basal Control & 1 day & On Earth & Upon euthanasia | Ground Control & ~30 day & On Earth & Upon euthanasia | Ground Control & ~60 day & On Earth & Carcass | Space Flight & ~30 day & On Earth & Upon euthanasia | Space Flight & ~60 day & On ISS & Carcass,RNA Sequencing (RNA-Seq),Transcriptional analysis of spleen from mice flown on the RR-6 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-246/download?source=datamanager&file=GLDS-246_rna_seq_differential_expression_GLbulkRNAseq.csv
