"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","GSM3932693","GSM3932694","GSM3932695","GSM3932696","GSM3932697","GSM3932698","GSM3932699","GSM3932700","GSM3932701","GSM3932702","GSM3932703","GSM3932704","GSM3932705","GSM3932706","GSM3932707","GSM3932708","Log2fc_(Ground Control)v(Space Flight)","Stat_(Ground Control)v(Space Flight)","P.value_(Ground Control)v(Space Flight)","Adj.p.value_(Ground Control)v(Space Flight)","Log2fc_(Space Flight)v(Ground Control)","Stat_(Space Flight)v(Ground Control)","P.value_(Space Flight)v(Ground Control)","Adj.p.value_(Space Flight)v(Ground Control)","All.mean","All.stdev","LRT.p.value","Group.Mean_(Ground Control)","Group.Stdev_(Ground Control)","Group.Mean_(Space Flight)","Group.Stdev_(Space Flight)"
"ENSMUSG00000053559","Smagp","small cell adhesion glycoprotein","NM_001033872|NM_001285413|NM_001285414|NM_174992|NP_001029044|NP_001272342|NP_001272343|NP_778157|NR_104337|NR_104338","207818","10090.ENSMUSP00000066137",NA,4.29211422250561,15.7175386619363,3.80127397342977,6.77780534325214,3.29191020071099,5.77048801843112,6.07136502317749,12.1609937338759,5.90122637305854,16.330061572919,2.09724061137626,1,3.36878787825893,3.58513059636671,7.890888079005,2.59586088979367,0.475543722504193,0.767941478463208,0.442521953469207,NA,-0.475543722504193,-0.767941478463208,0.442521953469207,NA,6.29079282363109,4.63071740750908,NA,7.23543614716491,4.40658195760156,5.34614950009726,4.94902281322202
"ENSMUSG00000053560","Ier2","immediate early response 2","NM_010499|NP_034629","15936","10090.ENSMUSP00000060275",NA,100.878874038896,71.9764846579863,135.121776526288,73.193359139607,65.2135098330238,60.2077535167112,83.67248869562,65.8781009437918,120.835242685478,87.534651319966,94.9036097174417,87.3372481331879,96.1317706009828,104.598719693744,90.2649190941473,43.8567969364229,-0.142421320393973,-0.732319420250673,0.463973628642725,0.829499489596951,0.142421320393973,0.732319420250673,0.463973628642725,0.829499489596951,86.350331595831,23.1522172541035,0.838799166199373,82.0177934189905,25.0021752854336,90.6828697726714,21.9228578716788
"ENSMUSG00000053565","Eif3k","eukaryotic translation initiation factor 3, subunit K","NM_001285942|NM_001285943|NM_028659|NP_001272871|NP_001272872|NP_082935|XM_006540392|XP_006540455","73830","10090.ENSMUSP00000066038","GO:0003676|GO:0045182|GO:0005488|GO:0097159|GO:0003743|GO:1901363|GO:0090079|GO:0008135|GO:0005737|GO:0110165|GO:0032991|GO:0005852|GO:0005622",601.246628475221,657.686168111244,662.313668544057,627.904367838546,733.153925125673,634.754613682554,636.559923061274,638.881858749574,721.989531474764,674.522771987276,658.69971024683,565.909399952868,641.947007497725,643.792299852866,623.721353422819,634.309717910306,0.00660485321653031,0.120716592897285,0.903915515880377,0.978833528326651,-0.00660485321653031,-0.120716592897285,0.903915515880377,0.978833528326651,647.33705912085,40.3191509116458,0.971016023957297,649.062644198518,38.7667540231934,645.611474043182,44.4278518327559
"ENSMUSG00000053574","4930563E22Rik","RIKEN cDNA 4930563E22 gene","NM_001163728|NP_001157200","75304","10090.ENSMUSP00000159068",NA,48.3160638511408,41.9291257344814,33.7537183035338,27.8610642659041,39.5992406336865,42.1870826989378,40.935257551749,42.0881602908535,59.0155941851359,52.3941264931766,39.0281105259337,74.2333911912273,43.9011894328696,38.6031278314489,44.3610361133044,39.7056839753353,-0.306909178530353,-1.71980533524066,0.0854678324907511,0.46351976203045,0.306909178530353,1.71980533524066,0.0854678324907511,0.46351976203045,44.2444983174199,10.6631066998412,0.482669563588401,39.5837141662859,6.18801777159559,48.905282468554,12.478096107846
"ENSMUSG00000053580","Tanc2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2","NM_175492|NM_181071|NP_851416|XM_006534472|XM_006534473|XM_006534474|XM_006534475|XM_006534476|XM_006534477|XM_006534478|XM_006534480|XM_006534481|XM_006534482|XM_006534483|XP_006534535|XP_006534536|XP_006534537|XP_006534538|XP_006534539|XP_006534540|XP_006534541|XP_006534543|XP_006534544|XP_006534545|XP_006534546","77097","10090.ENSMUSP00000097904","GO:0050789|GO:0065008|GO:0050793|GO:0022603|GO:0050794|GO:0031344|GO:0065007|GO:0050807|GO:0051128|GO:0050803|GO:0120035|GO:0099175|GO:0010975|GO:0045202|GO:0036477|GO:0043005|GO:0030054|GO:0030425|GO:0098794|GO:0042995|GO:0097447|GO:0110165|GO:0120025|GO:0043197",1187.12288438899,890.26650689007,1006.63068139655,794.0300086254,1119.47562053426,1046.83567020344,1027.35950291746,986.521721080071,762.602771812373,1113.03234140863,1001.22546044364,1000.48483556231,957.536178121557,913.755648586771,1015.76324700202,1112.63508476446,0.0318230419750675,0.372737717561498,0.70934366158941,0.927448152579504,-0.0318230419750675,-0.372737717561498,0.70934366158941,0.927448152579504,995.954885233625,114.883221077369,0.929008700079682,1007.28032450453,123.345161445232,984.62944596272,113.0245650405
"ENSMUSG00000053581","Zfand2a","zinc finger, AN1-type domain 2A","NM_001159908|NM_133349|NP_001153380|NP_579927","100494","10090.ENSMUSP00000078910","GO:0051641|GO:0033036|GO:0006810|GO:0030163|GO:0071705|GO:1901565|GO:0045184|GO:0043632|GO:0071702|GO:0051234|GO:0006807|GO:0006508|GO:0009056|GO:0033365|GO:1901575|GO:0010498|GO:0072599|GO:0019538|GO:0051603|GO:0071704|GO:0008152|GO:0009057|GO:0019941|GO:0070972|GO:0043170|GO:0043161|GO:0006605|GO:1901564|GO:0072594|GO:0045047|GO:0009987|GO:0008104|GO:0006511|GO:0044238|GO:0051179|GO:0070727|GO:0015031|GO:0006886|GO:0051649|GO:0046907|GO:0005737|GO:0043231|GO:0012505|GO:0043227|GO:0110165|GO:0043226|GO:0005783|GO:0043229|GO:0005622",409.423800995086,367.691044979234,390.945809094678,430.882220882685,381.503905685018,447.393762507936,383.743803309792,403.498025597654,317.987283303298,338.699883518582,358.785220862871,382.890926865791,428.836997890404,382.692739491024,379.772233424189,382.287130818103,0.115519364354899,1.73008069972536,0.0836158579972648,0.46124200100062,-0.115519364354899,-1.73008069972536,0.0836158579972648,0.46124200100062,386.689674326646,33.1940706981577,0.480143937746104,401.88529663151,26.7386989097277,371.494052021783,33.4417997877455
"ENSMUSG00000053588",NA,NA,NA,NA,NA,NA,10.9782088144778,6.27489972346587,11.902247145214,10.9693266286873,6.42303485832353,9.39024350903823,5.800046566337,6.24096291819443,6.93740092110365,10.6116687775734,9.30807862561172,12.3110199662589,12.7833201024037,10.7872146110027,13.1126484997648,8.46476898507365,-0.379748974672269,-1.12677840936687,0.259836181219376,NA,0.379748974672269,1.12677840936687,0.259836181219376,NA,9.51844316578316,2.53775248621534,NA,8.49737127046727,2.57084503365117,10.5395150610991,2.19273804257781
"ENSMUSG00000053600","Zfp472","zinc finger protein 472","NM_153063|NP_694703","224691","10090.ENSMUSP00000036514","GO:0006355|GO:0051171|GO:0006357|GO:2001141|GO:0051252|GO:0080090|GO:0050789|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0065007|GO:0010468|GO:0010556|GO:0019222|GO:0031323|GO:0000987|GO:0001067|GO:0003676|GO:0003700|GO:0000977|GO:0005488|GO:0003690|GO:0000976|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:1901363|GO:0000981|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",96.1838565173505,84.4271002810344,106.454635324048,121.780326738744,79.2582743509244,83.2515860023028,106.87685276847,107.199258124091,97.1223972495826,101.832459952456,119.260765227034,138.207201739619,141.917717860492,141.031175285828,132.913818429839,116.733280315247,-0.329189111235521,-2.73745916493919,0.00619158063597637,0.123622373435362,0.329189111235521,2.73745916493919,0.00619158063597637,0.123622373435362,110.903169135441,20.538235734305,0.133506145155039,98.1789862633706,14.9113731972533,123.627352007512,17.648821391581
"ENSMUSG00000053604","Rpia","ribose 5-phosphate isomerase A","NM_009075|NP_033101","19895","10090.ENSMUSP00000064158","GO:0006725|GO:0005996|GO:0046483|GO:1901135|GO:0006091|GO:1901564|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0006793|GO:0044238|GO:0006796|GO:0051156|GO:1901360|GO:0006807|GO:0006753|GO:0072521|GO:0019637|GO:0009117|GO:0005975|GO:0006739|GO:0006163|GO:0044281|GO:0008152|GO:0071704|GO:0055086|GO:0016853|GO:0003824|GO:0005737|GO:0005829|GO:0110165|GO:0005622",82.4933852308005,92.563106649441,88.9701244516523,88.4970478297024,61.5363220101182,76.3703401167412,68.127400653633,75.8064724133691,77.0784568633331,82.4093906131016,64.3147287562919,79.6284255222736,59.3276355845693,90.5000405265088,67.1804023832805,55.2955774827497,0.144685453304588,1.07375770470905,0.282931290948929,0.716892114558782,-0.144685453304588,-1.07375770470905,0.282931290948929,0.716892114558782,75.6311785679729,11.8228776587607,0.73067541699537,79.2955249194322,10.8586201216297,71.9668322165136,12.285300033862
"ENSMUSG00000053615",NA,NA,NA,NA,NA,NA,8.04974413970469,4.78535318499944,5.19126748747474,4.90233408542113,3.3350155347125,3.00706402015406,6.16712006702954,3.8207241687655,5.99290854946456,2.88122687301529,7.70738410436544,1,3.53690791131109,8.02371735055453,5.01196274755266,3.67874646512781,0.0530092634110133,0.0992591528846316,0.920932509479065,NA,-0.0530092634110133,-0.0992591528846316,0.920932509479065,NA,4.81821729310331,2.00325731028317,NA,4.9073278360327,1.6397411486531,4.72910675017392,2.42744102485849
