"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","RR9_TMS_FLT_F1","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F3","RR9_TMS_FLT_F5","RR9_TMS_FLT_F2","RR9_TMS_FLT_F8","RR9_TMS_FLT_F4","RR9_TMS_FLT_F10","RR9_TMS_FLT_F9","RR9_TMS_GC_G4","RR9_TMS_GC_G10","RR9_TMS_GC_G1","RR9_TMS_GC_G7","RR9_TMS_GC_G6","RR9_TMS_GC_G9","RR9_TMS_GC_G8","RR9_TMS_GC_G3","RR9_TMS_GC_G2","RR9_TMS_GC_G5","Log2fc_(Ground Control)v(Space Flight)","Stat_(Ground Control)v(Space Flight)","P.value_(Ground Control)v(Space Flight)","Adj.p.value_(Ground Control)v(Space Flight)","Log2fc_(Space Flight)v(Ground Control)","Stat_(Space Flight)v(Ground Control)","P.value_(Space Flight)v(Ground Control)","Adj.p.value_(Space Flight)v(Ground Control)","All.mean","All.stdev","LRT.p.value","Group.Mean_(Ground Control)","Group.Stdev_(Ground Control)","Group.Mean_(Space Flight)","Group.Stdev_(Space Flight)"
"ENSMUSG00000049299","Trappc1","trafficking protein particle complex 1","NM_001024206|NP_001019377","245828","10090.ENSMUSP00000099661","GO:0051179|GO:0006888|GO:0051641|GO:0051234|GO:0006810|GO:0051649|GO:0016192|GO:0046907|GO:0048193|GO:0009987|GO:0032991|GO:0140535|GO:0099023|GO:0030008",73.6456280801079,231.833329978475,278.687840147913,185.440904030154,292.860595842546,136.605488219447,202.752424681032,221.585966505107,200.419182850329,215.573141577671,335.539727306482,335.191482848559,238.53377989748,215.702205359711,99.373724377803,206.522890972653,179.156668754798,326.47307788271,223.236150404531,348.31240931988,0.300182563753369,1.26663461678003,0.205285968680933,0.523440363840421,-0.300182563753369,-1.26663461678003,0.205285968680933,0.523440363840421,227.372330951869,75.8355420073048,0.514779458925469,250.804211712461,82.8003325710288,203.940450191278,63.7577383668176
"ENSMUSG00000049300","Prmt6","protein arginine N-methyltransferase 6","NM_178891|NP_849222|NR_024139","99890","10090.ENSMUSP00000140836",NA,34.8687642379855,57.4887425871352,31.9054863064304,85.9592327830669,9.00045317293998,72.271776780292,92.2473895866313,13.1790396885955,47.6762382237466,62.7751003519814,52.9135515815688,43.150228032761,52.994374503911,23.2923141419825,37.7602030763196,112.786876474475,42.8179365507555,66.9721421420212,40.3960301645327,56.8598582109705,0.0409053226302989,0.113257995407801,0.909826017711931,0.967399101925129,-0.0409053226302989,-0.113257995407801,0.909826017711931,0.967399101925129,51.8657869299051,25.8240219858814,0.957737599435339,52.9943514879298,24.1728671005697,50.7372223718805,28.6478648128726
"ENSMUSG00000049303","Syt12","synaptotagmin XII","NM_134164|NP_598925","171180","10090.ENSMUSP00000055237","GO:0010033|GO:0051716|GO:0070887|GO:1901700|GO:0006810|GO:1903530|GO:0016192|GO:0032879|GO:0009987|GO:0060627|GO:0051179|GO:0050789|GO:0045055|GO:0050896|GO:1901701|GO:0051049|GO:0006887|GO:0042221|GO:0051234|GO:0050794|GO:0051046|GO:0046903|GO:0065007|GO:0017156|GO:0140352|GO:0017157|GO:0032940|GO:0043169|GO:0005544|GO:0005488|GO:0001786|GO:0046872|GO:0005509|GO:0005515|GO:0030276|GO:0008289|GO:0043167|GO:0005543|GO:0000149|GO:0043231|GO:0097708|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0005622|GO:0005737|GO:0070382|GO:0012505|GO:0031410|GO:0043227|GO:0030133|GO:0099503|GO:0005886",32.6954073985166,1,27.7834797366631,1.71102007609227,2.58290142894316,15.6820585020829,5.7294040591917,64.9657475201449,40.9702062900617,1.48471169995015,12.2951350602855,1,1,17.6378941129796,1,1,1,1,10.3043859296892,1.85250920494367,-2.23174239901995,-2.09506938128817,0.0361648253065306,0.205778512343076,2.23174239901995,2.09506938128817,0.0361648253065306,0.205778512343076,12.1347430509772,17.266352996147,0.222211894377051,4.80899243078979,6.20585505470245,19.4604936711647,21.7165216018184
"ENSMUSG00000049305","Ccdc71","coiled-coil domain containing 71","NM_001378930|NM_001378931|NM_133744|NP_001365859|NP_001365860|NP_598505","72454","10090.ENSMUSP00000057891",NA,17.7432341286566,148.771829297093,61.8375767107864,72.1117054480752,82.628268776675,81.5159034287175,8.39062935437941,72.6204113532335,169.276380211097,108.420950993981,94.3661844457723,71.8622930110793,111.158128703652,134.365866695646,86.0114862045287,147.376457682219,155.423043240405,103.742203981701,115.354066744012,139.745312018946,0.512421344410945,1.50167542534384,0.133180953502884,0.422791540524748,-0.512421344410945,-1.50167542534384,0.133180953502884,0.422791540524748,99.1360966215327,43.2190893153572,0.418786044261388,115.940504272796,27.7475775998672,82.3316889702695,50.4565699384521
"ENSMUSG00000049307","Fut4","fucosyltransferase 4","NM_010242|NP_034372","14345","10090.ENSMUSP00000053027","GO:0070085|GO:0008152|GO:0016740|GO:0008417|GO:0016757|GO:0003824|GO:0016758",4.82039633240246,4.90366276123936,1,13.7532702396497,42.2976930603753,1,16.4236322275476,1,8.84982323113029,2.58073913146799,15.1717613593725,1,1,1,7.06170504168071,13.5535944131704,1,12.5574397908656,5.57992502679661,11.1939882987305,-0.540908949195094,-0.518099681363402,0.604388722554784,0.834634778498142,0.540908949195094,0.518099681363402,0.604388722554784,0.834634778498142,8.28738154572145,9.71030653517321,0.827836408687467,6.91184139306163,5.81324789088367,9.66292169838127,12.6908721945874
"ENSMUSG00000049313","Sorl1","sortilin-related receptor, LDLR class A repeats-containing","NM_001357261|NM_011436|NP_001344190|NP_035566","20660","10090.ENSMUSP00000058613","GO:0051641|GO:0072666|GO:0033036|GO:0006623|GO:0007034|GO:0006892|GO:0006810|GO:0072665|GO:0006605|GO:0071705|GO:0016192|GO:0034067|GO:0072594|GO:0009987|GO:0048193|GO:0006622|GO:0007041|GO:0045184|GO:0008104|GO:0051179|GO:0071702|GO:0061462|GO:0070727|GO:0051234|GO:0051235|GO:0051651|GO:0015031|GO:0051649|GO:0006886|GO:0046907|GO:0033365|GO:0005737|GO:0043231|GO:0012505|GO:0005794|GO:0043227|GO:0110165|GO:0043226|GO:0043229|GO:0005622",208.122688272462,36.8897486317924,286.766994476418,188.443071395554,60.0371340834954,193.991503378548,119.600367912184,215.853527515791,68.5150255575041,91.9448119207315,215.982315877542,53.603204095553,119.331087165388,98.8030965380222,252.013039890808,54.0664061152119,40.6298094080508,69.4855083062129,85.5314148577709,57.6618204254853,-0.506237016146398,-1.35388358074684,0.175773522650059,0.483492848054451,0.506237016146398,1.35388358074684,0.175773522650059,0.483492848054451,125.863628791226,78.7895786307577,0.478293156590021,104.710770268005,72.5974017703145,147.016487314448,82.7082174791206
"ENSMUSG00000049321","Zfp2","zinc finger protein 2","NM_001044697|NM_001044698|NM_001044699|NM_001044700|NM_001294323|NM_009550|NM_178447|NP_001038162|NP_001038163|NP_001038165|NP_001281252|NP_848542|XM_017314506|XM_030245935|XM_030245936|XM_030245937|XM_030245938|XM_030245939|XM_030245940|XM_030245941|XM_036156637|XM_036156638|XM_036156639|XM_036156640|XP_017169995|XP_030101795|XP_030101796|XP_030101797|XP_030101798|XP_030101799|XP_030101800|XP_030101801|XP_036012530|XP_036012531|XP_036012532|XP_036012533","22678","10090.ENSMUSP00000112079","GO:0006355|GO:0051171|GO:0006357|GO:2001141|GO:0051252|GO:0080090|GO:0050789|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0065007|GO:0010468|GO:0010556|GO:0019222|GO:0031323|GO:1990837|GO:0000976|GO:0000987|GO:0001067|GO:0043565|GO:0003676|GO:0140110|GO:0003700|GO:0000977|GO:0005488|GO:0097159|GO:0003677|GO:0000978|GO:0003690|GO:1901363",6.38672188494659,48.8710507567292,26.069873256083,31.5996384215671,10.9901522743805,105.291902530506,40.3511509913926,8.75793539680948,40.8890211473647,9.56587821606231,44.5732224415124,4.91649713456912,2.63762532389927,76.6365604852572,31.1988897809109,25.445680127777,2.08465910709537,5.33344706505258,17.1865035797314,10.8164250817283,-0.570920935727589,-0.894108562246245,0.371263808575696,0.68809783202088,0.570920935727589,0.894108562246245,0.371263808575696,0.68809783202088,27.4801417501687,26.7903791440707,0.678641884839911,22.0829510127534,23.7592370287566,32.8773324875841,29.7651145996254
"ENSMUSG00000049323","Smcr8","Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)","NM_001085440|NM_175491|NP_001078909|NP_780700","237782","10090.ENSMUSP00000055926","GO:0032045|GO:0140535|GO:0032991",16.5830905431316,50.1072895603818,59.9975335993289,40.2819890327384,29.074932846956,79.9094069350643,136.386654082365,32.8772645702538,65.0378190457702,64.0416711194183,65.2250882276182,46.2060056275868,92.4570327660486,24.0039647111918,40.5601092084818,75.6685696975846,42.4868380062084,38.2062330873863,37.7047231716711,48.7174744280916,-0.1698195353438,-0.510147582530036,0.60994807176301,0.838217407991316,0.1698195353438,0.510147582530036,0.60994807176301,0.838217407991316,54.2766845133639,27.412834351227,0.826439571633731,51.1236038931869,20.5705090509056,57.4297651335408,33.7814138983114
"ENSMUSG00000049327","Kmt5a","lysine methyltransferase 5A","NM_001310723|NM_001310725|NM_001310727|NM_001405388|NM_001405390|NM_030241|NP_001297652|NP_001297654|NP_001297656|NP_001392317|NP_001392319|NP_084517|XM_036165448|XP_036021341","67956","10090.ENSMUSP00000098275","GO:0010646|GO:0006355|GO:0051171|GO:0006357|GO:0023051|GO:0080134|GO:2001141|GO:0051252|GO:1902531|GO:0048583|GO:0050789|GO:0080090|GO:0080135|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0009889|GO:0009966|GO:0065007|GO:0010556|GO:0010468|GO:0019222|GO:0031323|GO:0008170|GO:0140993|GO:0016740|GO:0042054|GO:0003824|GO:0008168|GO:0016741|GO:0016279|GO:0140096|GO:0016278|GO:0008757|GO:0008276|GO:0043232|GO:0043228|GO:0005634|GO:0043231|GO:0005694|GO:0043227|GO:0110165|GO:0043226|GO:0043229|GO:0005622",172.781922054375,249.308655852568,404.366110899807,422.672791347232,210.225337185117,50.7768351577298,208.034602387428,128.76886392979,262.425066491598,228.889376925462,291.422718286996,272.381930791694,560.934433840962,352.607618702179,418.884350884506,321.195170270387,595.302860795681,420.811155551884,635.870039347773,520.350724616231,0.911917351934421,3.40468631300054,0.000662400965794323,0.0129137516185989,-0.911917351934421,-3.40468631300054,0.000662400965794323,0.0129137516185989,336.40052826597,159.282704988702,0.0134843479627738,438.976100308829,131.779305172443,233.824956223111,113.196778035154
"ENSMUSG00000049336","Tenm2","teneurin transmembrane protein 2","NM_001290702|NM_011856|NP_001277631|NP_035986|XM_006533287|XM_006533288|XM_006533289|XM_006533290|XM_006533291|XM_006533292|XM_006533293|XM_006533294|XM_006533295|XM_006533296|XM_006533297|XM_006533298|XM_006533301|XM_011249009|XM_017314548|XM_017314549|XM_030245994|XM_030245995|XM_030245996|XM_036156687|XM_036156688|XM_036156689|XM_036156690|XM_036156691|XM_036156692|XM_036156693|XM_036156694|XM_036156695|XM_036156696|XM_036156697|XM_036156698|XP_006533350|XP_006533351|XP_006533352|XP_006533353|XP_006533354|XP_006533355|XP_006533356|XP_006533357|XP_006533358|XP_006533359|XP_006533360|XP_006533361|XP_006533364|XP_011247311|XP_017170037|XP_017170038|XP_030101854|XP_030101855|XP_030101856|XP_036012580|XP_036012581|XP_036012582|XP_036012583|XP_036012584|XP_036012585|XP_036012586|XP_036012587|XP_036012588|XP_036012589|XP_036012590|XP_036012591","23964","10090.ENSMUSP00000099865",NA,2.0958141101991,45.7875046737046,4.2267933733189,1,2.48068602967968,1,1,1,2.12579753370769,1.45338313320144,1,6.15184923761446,1,1.60049229923868,25.1244325429821,3.40040531471517,18.0745590972411,27.6756351410189,1,1.63298108583972,0.514606804419735,0.421472941526793,0.673409765731791,0.871563035635036,-0.514606804419735,-0.421472941526793,0.673409765731791,0.871563035635036,7.44151667862308,12.1601578079007,0.863960200406105,8.66603547186502,10.7004780672143,6.21699788538114,13.9404619604846
